date,name,unit,OT
2022-06-17 10:40:00,YC0052,m5Max,3192
2022-06-17 10:55:00,YC0052,m5Max,3276
2022-06-17 11:10:00,YC0052,m5Max,3360
2022-06-17 11:25:00,YC0052,m5Max,3164
2022-06-17 11:40:00,YC0052,m5Max,3080
2022-06-17 11:55:00,YC0052,m5Max,3024
2022-06-17 12:10:00,YC0052,m5Max,2940
2022-06-17 12:25:00,YC0052,m5Max,2940
2022-06-17 12:40:00,YC0052,m5Max,3052
2022-06-17 12:55:00,YC0052,m5Max,3108
2022-06-17 13:10:00,YC0052,m5Max,3192
2022-06-17 13:25:00,YC0052,m5Max,2968
2022-06-17 13:40:00,YC0052,m5Max,3024
2022-06-17 13:55:00,YC0052,m5Max,2968
2022-06-17 14:10:00,YC0052,m5Max,2940
2022-06-17 14:25:00,YC0052,m5Max,2940
2022-06-17 14:40:00,YC0052,m5Max,3052
2022-06-17 14:55:00,YC0052,m5Max,3248
2022-06-17 15:10:00,YC0052,m5Max,3164
2022-06-17 15:25:00,YC0052,m5Max,3220
2022-06-17 15:40:00,YC0052,m5Max,3248
2022-06-17 15:55:00,YC0052,m5Max,2912
2022-06-17 16:10:00,YC0052,m5Max,2996
2022-06-17 16:25:00,YC0052,m5Max,3164
2022-06-17 16:40:00,YC0052,m5Max,3108
2022-06-17 16:55:00,YC0052,m5Max,3024
2022-06-17 17:10:00,YC0052,m5Max,3080
2022-06-17 17:25:00,YC0052,m5Max,2968
2022-06-17 17:40:00,YC0052,m5Max,2996
2022-06-17 17:55:00,YC0052,m5Max,1932
2022-06-17 18:10:00,YC0052,m5Max,1876
2022-06-17 18:25:00,YC0052,m5Max,1848
2022-06-17 18:40:00,YC0052,m5Max,1680
2022-06-17 18:55:00,YC0052,m5Max,1708
2022-06-17 19:10:00,YC0052,m5Max,1764
2022-06-17 19:25:00,YC0052,m5Max,1680
2022-06-17 19:40:00,YC0052,m5Max,1680
2022-06-17 19:55:00,YC0052,m5Max,1736
2022-06-17 20:10:00,YC0052,m5Max,1708
2022-06-17 20:25:00,YC0052,m5Max,1848
2022-06-17 20:40:00,YC0052,m5Max,1652
2022-06-17 20:55:00,YC0052,m5Max,1848
2022-06-17 21:10:00,YC0052,m5Max,1764
2022-06-17 21:25:00,YC0052,m5Max,1736
2022-06-17 21:40:00,YC0052,m5Max,1820
2022-06-17 21:55:00,YC0052,m5Max,1708
2022-06-17 22:10:00,YC0052,m5Max,1876
2022-06-17 22:25:00,YC0052,m5Max,1764
2022-06-17 22:40:00,YC0052,m5Max,1792
2022-06-17 22:55:00,YC0052,m5Max,1792
2022-06-17 23:10:00,YC0052,m5Max,1680
2022-06-17 23:25:00,YC0052,m5Max,1708
2022-06-17 23:40:00,YC0052,m5Max,1568
2022-06-17 23:55:00,YC0052,m5Max,1596
2022-06-18 00:10:00,YC0052,m5Max,700
2022-06-18 00:25:00,YC0052,m5Max,784
2022-06-18 00:40:00,YC0052,m5Max,812
2022-06-18 00:55:00,YC0052,m5Max,1036
2022-06-18 01:10:00,YC0052,m5Max,1176
2022-06-18 01:25:00,YC0052,m5Max,1176
2022-06-18 01:40:00,YC0052,m5Max,1204
2022-06-18 01:55:00,YC0052,m5Max,1260
2022-06-18 02:10:00,YC0052,m5Max,1232
2022-06-18 02:25:00,YC0052,m5Max,1344
2022-06-18 02:40:00,YC0052,m5Max,1456
2022-06-18 02:55:00,YC0052,m5Max,1372
2022-06-18 03:10:00,YC0052,m5Max,1008
2022-06-18 03:25:00,YC0052,m5Max,868
2022-06-18 03:40:00,YC0052,m5Max,812
2022-06-18 03:55:00,YC0052,m5Max,728
2022-06-18 04:10:00,YC0052,m5Max,1148
2022-06-18 04:25:00,YC0052,m5Max,1092
2022-06-18 04:40:00,YC0052,m5Max,1176
2022-06-18 04:55:00,YC0052,m5Max,1204
2022-06-18 05:10:00,YC0052,m5Max,1400
2022-06-18 05:25:00,YC0052,m5Max,1316
2022-06-18 05:40:00,YC0052,m5Max,1288
2022-06-18 05:55:00,YC0052,m5Max,1232
2022-06-18 06:10:00,YC0052,m5Max,1260
2022-06-18 06:25:00,YC0052,m5Max,1428
2022-06-18 06:40:00,YC0052,m5Max,1400
2022-06-18 06:55:00,YC0052,m5Max,1568
2022-06-18 07:10:00,YC0052,m5Max,1456
2022-06-18 07:25:00,YC0052,m5Max,1484
2022-06-18 07:40:00,YC0052,m5Max,1512
2022-06-18 07:55:00,YC0052,m5Max,1484
2022-06-18 08:10:00,YC0052,m5Max,1400
2022-06-18 08:25:00,YC0052,m5Max,1428
2022-06-18 08:40:00,YC0052,m5Max,1344
2022-06-18 08:55:00,YC0052,m5Max,1344
2022-06-18 09:10:00,YC0052,m5Max,1260
2022-06-18 09:25:00,YC0052,m5Max,1120
2022-06-18 09:40:00,YC0052,m5Max,1036
2022-06-18 09:55:00,YC0052,m5Max,756
2022-06-18 10:10:00,YC0052,m5Max,728
2022-06-18 10:25:00,YC0052,m5Max,924
